id,ticker,action,action_date,reason,entry_price,stop_price,target_price,rs,vol_ratio,created_at,volume_ratio
1,ARWR,ADDED,2025-12-03,new_trigger,57.95,53.31,71.86,0.08502926983676076,1.3155330180295626,2025-12-03 02:47:13,
2,AXTI,ADDED,2025-12-03,new_trigger,11.76,10.82,14.58,0.017255292831358383,2.066738396464279,2025-12-03 02:47:13,
3,CFFN,ADDED,2025-12-03,new_trigger,6.74,6.2,8.36,0.009889512540000223,1.3397688829477912,2025-12-03 02:47:13,
4,CWBC,ADDED,2025-12-03,new_trigger,22.96,21.12,28.47,0.03368890305268011,3.235877243059588,2025-12-03 02:47:13,
5,EL,ADDED,2025-12-03,new_trigger,99.64,91.67,123.55,0.14620045354779984,1.341080179257808,2025-12-03 02:47:13,
6,EXLS,ADDED,2025-12-03,new_trigger,22.39,20.6,27.76,0.03285255003766729,2.1184759817903625,2025-12-03 02:47:13,
7,EZPW,ADDED,2025-12-03,new_trigger,20.12,18.51,24.95,0.02952181118121959,2.102449334825314,2025-12-03 02:47:13,
8,FDUS,ADDED,2025-12-03,new_trigger,20.8,19.14,25.79,0.03051956383861708,12.018188981548361,2025-12-03 02:47:13,
9,FDMT,ADDED,2025-12-03,new_trigger,20.8,19.14,25.79,0.03051956383861708,12.018188981548361,2025-12-03 02:47:13,
10,FCPT,ADDED,2025-12-03,new_trigger,20.8,19.14,25.79,0.03051956383861708,12.018188981548361,2025-12-03 02:47:13,
11,INTC,ADDED,2025-12-03,new_trigger,43.47,39.99,53.9,0.06378295797993012,1.4050166440870027,2025-12-03 02:47:13,
12,JBHT,ADDED,2025-12-03,new_trigger,185.73,170.87,230.31,0.27251916679174665,1.7869860095423231,2025-12-03 02:47:13,
13,LEA,ADDED,2025-12-03,new_trigger,7.26,6.68,9.0,0.010652502335622507,1.8662082824382364,2025-12-03 02:47:13,
14,THO,ADDED,2025-12-03,new_trigger,110.21,101.39,136.66,0.1617096743311146,1.825823614100576,2025-12-03 02:47:13,
15,UTZ,ADDED,2025-12-03,new_trigger,20.53,18.89,25.46,0.030123398535829776,1.5608287159720549,2025-12-03 02:47:13,
16,UWMC,ADDED,2025-12-03,new_trigger,20.53,18.89,25.46,0.030123398535829776,1.5608287159720549,2025-12-03 02:47:13,
17,UUUU,ADDED,2025-12-03,new_trigger,20.53,18.89,25.46,0.030123398535829776,1.5608287159720549,2025-12-03 02:47:13,
