ticker,signal_date,signal_price,current_price,entry_price,stop_price,target_price,atr,rs,volume_ratio,ma50,ma150,ma200,high_52w,low_52w,ml_probability,ml_rank,ml_model_version,ml_score_date,ml_features,last_updated,status,notes
PCQ,2025-11-17,44.99,44.99,,,,,0.06758604538810785,3.1767564100036547,37.48520004272461,29.561533323923747,25.82189998626709,44.9900016784668,12.229999542236328,0.6311070322990417,70,2025-12-03T02:17:06.861944,2025-11-17,"{'Volume': 4189500.0, 'SMA_50': 37.48520004272461, 'Price_vs_SMA_50': 20.020705844409054, 'Price_vs_SMA_150': 52.19102874497041, 'Price_vs_SMA_200': 74.23195699152237, 'ATR': 2.8992859976632253, 'Vol_Ratio': 3.1767564100036547, 'nATR': 6.444289596572491, 'VCP_Ratio': 1.5317166465564742, 'Consolidation_Width': 30.851301512083534, 'Dry_Up_Volume': 1.323705374136145, 'RSI_14': 63.05515336887635, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.7, 'SMA_50_Slope': 0.4399314167882102, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
PCOR,2025-11-17,44.99,44.99,,,,,0.06758604538810785,3.1767564100036547,37.48520004272461,29.561533323923747,25.82189998626709,44.9900016784668,12.229999542236328,0.6311070322990417,72,2025-12-03T02:17:06.861944,2025-11-17,"{'Volume': 4189500.0, 'SMA_50': 37.48520004272461, 'Price_vs_SMA_50': 20.020705844409054, 'Price_vs_SMA_150': 52.19102874497041, 'Price_vs_SMA_200': 74.23195699152237, 'ATR': 2.8992859976632253, 'Vol_Ratio': 3.1767564100036547, 'nATR': 6.444289596572491, 'VCP_Ratio': 1.5317166465564742, 'Consolidation_Width': 30.851301512083534, 'Dry_Up_Volume': 1.323705374136145, 'RSI_14': 63.05515336887635, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.7, 'SMA_50_Slope': 0.4399314167882102, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
PCRX,2025-11-17,44.99,44.99,,,,,0.06758604538810785,3.1767564100036547,37.48520004272461,29.561533323923747,25.82189998626709,44.9900016784668,12.229999542236328,0.6311070322990417,73,2025-12-03T02:17:06.861944,2025-11-17,"{'Volume': 4189500.0, 'SMA_50': 37.48520004272461, 'Price_vs_SMA_50': 20.020705844409054, 'Price_vs_SMA_150': 52.19102874497041, 'Price_vs_SMA_200': 74.23195699152237, 'ATR': 2.8992859976632253, 'Vol_Ratio': 3.1767564100036547, 'nATR': 6.444289596572491, 'VCP_Ratio': 1.5317166465564742, 'Consolidation_Width': 30.851301512083534, 'Dry_Up_Volume': 1.323705374136145, 'RSI_14': 63.05515336887635, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.7, 'SMA_50_Slope': 0.4399314167882102, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
PCT,2025-11-17,44.99,44.99,,,,,0.06758604538810785,3.1767564100036547,37.48520004272461,29.561533323923747,25.82189998626709,44.9900016784668,12.229999542236328,0.6311070322990417,71,2025-12-03T02:17:06.861944,2025-11-17,"{'Volume': 4189500.0, 'SMA_50': 37.48520004272461, 'Price_vs_SMA_50': 20.020705844409054, 'Price_vs_SMA_150': 52.19102874497041, 'Price_vs_SMA_200': 74.23195699152237, 'ATR': 2.8992859976632253, 'Vol_Ratio': 3.1767564100036547, 'nATR': 6.444289596572491, 'VCP_Ratio': 1.5317166465564742, 'Consolidation_Width': 30.851301512083534, 'Dry_Up_Volume': 1.323705374136145, 'RSI_14': 63.05515336887635, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.7, 'SMA_50_Slope': 0.4399314167882102, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
PD,2025-11-17,6.6,6.6,,,,,0.009918781908627983,3.01859733530718,5.228294248580933,4.852853274345398,4.845114932060242,6.602635383605957,3.8808133602142334,0.6899077892303467,23,2025-12-03T02:17:06.861944,2025-11-17,"{'Volume': 652500.0, 'SMA_50': 5.228294248580933, 'Price_vs_SMA_50': 26.286606485433538, 'Price_vs_SMA_150': 36.0567692930421, 'Price_vs_SMA_200': 36.274071434635324, 'ATR': 0.3191391763094299, 'Vol_Ratio': 3.01859733530718, 'nATR': 4.833512041295479, 'VCP_Ratio': 1.834341681792714, 'Consolidation_Width': 34.51128192202883, 'Dry_Up_Volume': 1.8271650629163583, 'RSI_14': 85.99221048217497, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.45, 'SMA_50_Slope': 0.24715813738913692, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
WELL,2025-11-17,197.27,197.27,,,,,0.2963480543467527,1.6486935253656192,175.91246643066407,161.89069763183593,157.86263931274414,197.27000427246094,121.64595794677734,0.42875102162361145,137,2025-12-03T02:17:06.861944,2025-11-17,"{'Volume': 5516700.0, 'SMA_50': 175.91246643066407, 'Price_vs_SMA_50': 12.141003008570143, 'Price_vs_SMA_150': 21.853823078261684, 'Price_vs_SMA_200': 24.96307240983489, 'ATR': 3.8385550851186685, 'Vol_Ratio': 1.6486935253656192, 'nATR': 1.9458381923168713, 'VCP_Ratio': 0.9897925868083516, 'Consolidation_Width': 12.659501833057599, 'Dry_Up_Volume': 1.0466799597382508, 'RSI_14': 84.85429476874815, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.7, 'SMA_50_Slope': 0.27484858661449635, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
ATRO,2025-11-14,52.15,50.119998931884766,,,,,0.07529256270918458,1.0509425904459764,46.286600265502926,36.58626681009928,32.97120012283325,52.150001525878906,15.600000381469727,0.6969811916351318,14,2025-12-03T02:17:06.861944,2025-11-14,"{'Volume': 1164700.0, 'SMA_50': 46.052000274658205, 'Price_vs_SMA_50': 13.241555665012772, 'Price_vs_SMA_150': 43.252705224417674, 'Price_vs_SMA_200': 58.94980757193402, 'ATR': 2.387142998831613, 'Vol_Ratio': 1.42511042862212, 'nATR': 4.5774552808920195, 'VCP_Ratio': 1.271586590897326, 'Consolidation_Width': 21.24640749158243, 'Dry_Up_Volume': 0.8833066183758121, 'RSI_14': 58.31533779836817, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.6, 'SMA_50_Slope': 0.5157398312261237, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-17,active,
GRPN,2025-11-14,36.82,37.439998626708984,,,,,0.05624408428787777,1.3788453589683778,28.174099922180176,23.446933314005534,22.947925004959107,37.689998626708984,14.149999618530273,0.7294625639915466,4,2025-12-03T02:17:06.861944,2025-11-14,"{'Volume': 1808700.0, 'SMA_50': 27.842499961853026, 'Price_vs_SMA_50': 32.24387086386371, 'Price_vs_SMA_150': 57.86540010655986, 'Price_vs_SMA_200': 60.71180963959545, 'ATR': 1.9648568289620536, 'Vol_Ratio': 1.8721044329346301, 'nATR': 5.336384696489428, 'VCP_Ratio': 1.2115365071417263, 'Consolidation_Width': 32.609994755568245, 'Dry_Up_Volume': 1.2639887717206344, 'RSI_14': 75.54721761488375, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -2.3083018402347237, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.5, 'SMA_50_Slope': 1.1691672067480003, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-17,active,
ALB,2025-11-13,114.57,117.69999694824219,,,,,0.17681433738935445,1.9453592346332618,91.6489533996582,74.94309023539225,74.41741682052613,117.69999694824219,50.15882110595703,0.6655991077423096,39,2025-12-03T02:17:06.861944,2025-11-13,"{'Volume': 7195900.0, 'SMA_50': 90.24530288696289, 'Price_vs_SMA_50': 26.953975475409862, 'Price_vs_SMA_150': 54.52734373369375, 'Price_vs_SMA_200': 54.64112585350475, 'ATR': 5.86000006539481, 'Vol_Ratio': 1.9251904884208724, 'nATR': 5.114777062934338, 'VCP_Ratio': 1.1483020007635276, 'Consolidation_Width': 27.293354915212635, 'Dry_Up_Volume': 1.1837785197551474, 'RSI_14': 59.166496071668384, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.6, 'SMA_50_Slope': 0.4175131566518562, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-17,active,
APA,2025-11-13,24.69,24.3799991607666,,,,,0.036624753686778616,0.7890132545794805,23.40252368927002,20.094423789978027,19.916921815872193,24.84187889099121,13.467399597167969,0.539112389087677,109,2025-12-03T02:17:06.861944,2025-11-13,"{'Volume': 20362600.0, 'SMA_50': 23.30935691833496, 'Price_vs_SMA_50': 5.923130443108254, 'Price_vs_SMA_150': 23.696531946301615, 'Price_vs_SMA_200': 24.153547351818688, 'ATR': 0.963571412222726, 'Vol_Ratio': 2.6421101172890014, 'nATR': 3.9026787824227327, 'VCP_Ratio': 0.9880924535021931, 'Consolidation_Width': 16.889428862270815, 'Dry_Up_Volume': 1.2442490190018198, 'RSI_14': 56.05634037404438, 'RSI_Regime': 1.0, 'Dist_From_52W_High': -0.6113803130594591, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.5, 'SMA_50_Slope': 0.09420370472348755, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-11-17,active,
