ticker,signal_date,signal_price,current_price,entry_price,stop_price,target_price,atr,rs,volume_ratio,ma50,ma150,ma200,high_52w,low_52w,ml_probability,ml_rank,ml_model_version,ml_score_date,ml_features,last_updated,status,notes
DGX,2025-10-20,190.41,190.41,,,,,0.2836436870617559,1.8228026982027465,182.01089935302736,174.64934234619142,171.3006177520752,190.41000366210938,144.63560485839844,0.2286704182624817,140,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 1491100.0, 'SMA_50': 182.01089935302736, 'Price_vs_SMA_50': 4.6146161240548365, 'Price_vs_SMA_150': 9.024174442453404, 'Price_vs_SMA_200': 11.155468182660817, 'ATR': 3.4714668766143637, 'Vol_Ratio': 1.8228026982027465, 'nATR': 1.8231536210537702, 'VCP_Ratio': 1.0400177980690113, 'Consolidation_Width': 7.807357984256874, 'Dry_Up_Volume': 1.3011811360519103, 'RSI_14': 51.16244231305844, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 0.0, 'Green_Days_Ratio_20D': 0.65, 'SMA_50_Slope': 0.1623780383822417, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
FOXF,2025-10-20,23.84,23.84,,,,,0.03551318424861975,1.4330629087948796,22.160300064086915,20.106866709391277,19.34130000591278,23.84000015258789,15.279999732971191,0.5701970458030701,90,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 306300.0, 'SMA_50': 22.160300064086915, 'Price_vs_SMA_50': 7.579771409427373, 'Price_vs_SMA_150': 18.566460389638863, 'Price_vs_SMA_200': 23.259554142171528, 'ATR': 0.7049286706107003, 'Vol_Ratio': 1.4330629087948796, 'nATR': 2.956915545716465, 'VCP_Ratio': 1.0496813611744267, 'Consolidation_Width': 12.374156194250656, 'Dry_Up_Volume': 0.9152326680328252, 'RSI_14': 63.59649031079329, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.35, 'SMA_50_Slope': 0.3576035285022314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
FPI,2025-10-20,23.84,23.84,,,,,0.03551318424861975,1.4330629087948796,22.160300064086915,20.106866709391277,19.34130000591278,23.84000015258789,15.279999732971191,0.5701970458030701,95,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 306300.0, 'SMA_50': 22.160300064086915, 'Price_vs_SMA_50': 7.579771409427373, 'Price_vs_SMA_150': 18.566460389638863, 'Price_vs_SMA_200': 23.259554142171528, 'ATR': 0.7049286706107003, 'Vol_Ratio': 1.4330629087948796, 'nATR': 2.956915545716465, 'VCP_Ratio': 1.0496813611744267, 'Consolidation_Width': 12.374156194250656, 'Dry_Up_Volume': 0.9152326680328252, 'RSI_14': 63.59649031079329, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.35, 'SMA_50_Slope': 0.3576035285022314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
FRA,2025-10-20,23.84,23.84,,,,,0.03551318424861975,1.4330629087948796,22.160300064086915,20.106866709391277,19.34130000591278,23.84000015258789,15.279999732971191,0.5701970458030701,94,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 306300.0, 'SMA_50': 22.160300064086915, 'Price_vs_SMA_50': 7.579771409427373, 'Price_vs_SMA_150': 18.566460389638863, 'Price_vs_SMA_200': 23.259554142171528, 'ATR': 0.7049286706107003, 'Vol_Ratio': 1.4330629087948796, 'nATR': 2.956915545716465, 'VCP_Ratio': 1.0496813611744267, 'Consolidation_Width': 12.374156194250656, 'Dry_Up_Volume': 0.9152326680328252, 'RSI_14': 63.59649031079329, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.35, 'SMA_50_Slope': 0.3576035285022314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
FPF,2025-10-20,23.84,23.84,,,,,0.03551318424861975,1.4330629087948796,22.160300064086915,20.106866709391277,19.34130000591278,23.84000015258789,15.279999732971191,0.5701970458030701,93,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 306300.0, 'SMA_50': 22.160300064086915, 'Price_vs_SMA_50': 7.579771409427373, 'Price_vs_SMA_150': 18.566460389638863, 'Price_vs_SMA_200': 23.259554142171528, 'ATR': 0.7049286706107003, 'Vol_Ratio': 1.4330629087948796, 'nATR': 2.956915545716465, 'VCP_Ratio': 1.0496813611744267, 'Consolidation_Width': 12.374156194250656, 'Dry_Up_Volume': 0.9152326680328252, 'RSI_14': 63.59649031079329, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.35, 'SMA_50_Slope': 0.3576035285022314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
FRMI,2025-10-20,23.84,23.84,,,,,0.03551318424861975,1.4330629087948796,22.160300064086915,20.106866709391277,19.34130000591278,23.84000015258789,15.279999732971191,0.5701970458030701,92,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 306300.0, 'SMA_50': 22.160300064086915, 'Price_vs_SMA_50': 7.579771409427373, 'Price_vs_SMA_150': 18.566460389638863, 'Price_vs_SMA_200': 23.259554142171528, 'ATR': 0.7049286706107003, 'Vol_Ratio': 1.4330629087948796, 'nATR': 2.956915545716465, 'VCP_Ratio': 1.0496813611744267, 'Consolidation_Width': 12.374156194250656, 'Dry_Up_Volume': 0.9152326680328252, 'RSI_14': 63.59649031079329, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.35, 'SMA_50_Slope': 0.3576035285022314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
FROG,2025-10-20,23.84,23.84,,,,,0.03551318424861975,1.4330629087948796,22.160300064086915,20.106866709391277,19.34130000591278,23.84000015258789,15.279999732971191,0.5701970458030701,96,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 306300.0, 'SMA_50': 22.160300064086915, 'Price_vs_SMA_50': 7.579771409427373, 'Price_vs_SMA_150': 18.566460389638863, 'Price_vs_SMA_200': 23.259554142171528, 'ATR': 0.7049286706107003, 'Vol_Ratio': 1.4330629087948796, 'nATR': 2.956915545716465, 'VCP_Ratio': 1.0496813611744267, 'Consolidation_Width': 12.374156194250656, 'Dry_Up_Volume': 0.9152326680328252, 'RSI_14': 63.59649031079329, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.35, 'SMA_50_Slope': 0.3576035285022314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
FRGE,2025-10-20,23.84,23.84,,,,,0.03551318424861975,1.4330629087948796,22.160300064086915,20.106866709391277,19.34130000591278,23.84000015258789,15.279999732971191,0.5701970458030701,91,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 306300.0, 'SMA_50': 22.160300064086915, 'Price_vs_SMA_50': 7.579771409427373, 'Price_vs_SMA_150': 18.566460389638863, 'Price_vs_SMA_200': 23.259554142171528, 'ATR': 0.7049286706107003, 'Vol_Ratio': 1.4330629087948796, 'nATR': 2.956915545716465, 'VCP_Ratio': 1.0496813611744267, 'Consolidation_Width': 12.374156194250656, 'Dry_Up_Volume': 0.9152326680328252, 'RSI_14': 63.59649031079329, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.35, 'SMA_50_Slope': 0.3576035285022314, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
KRUS,2025-10-20,17.7,17.7,,,,,0.026366752695961906,2.5567656968918526,11.625200080871583,6.675733361244202,6.479950021505356,17.700000762939453,2.059999942779541,0.6714603900909424,30,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 2325000.0, 'SMA_50': 11.625200080871583, 'Price_vs_SMA_50': 52.2554505712423, 'Price_vs_SMA_150': 165.13942072186933, 'Price_vs_SMA_200': 173.15026665634016, 'ATR': 1.700714451926095, 'Vol_Ratio': 2.5567656968918526, 'nATR': 9.608555811404699, 'VCP_Ratio': 1.1880122250981946, 'Consolidation_Width': 47.74010985896612, 'Dry_Up_Volume': 1.663272308193087, 'RSI_14': 54.09734998434047, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.4, 'SMA_50_Slope': 1.2266537961618371, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
KROS,2025-10-20,17.7,17.7,,,,,0.026366752695961906,2.5567656968918526,11.625200080871583,6.675733361244202,6.479950021505356,17.700000762939453,2.059999942779541,0.6714603900909424,32,2025-12-03T02:17:06.861944,2025-10-20,"{'Volume': 2325000.0, 'SMA_50': 11.625200080871583, 'Price_vs_SMA_50': 52.2554505712423, 'Price_vs_SMA_150': 165.13942072186933, 'Price_vs_SMA_200': 173.15026665634016, 'ATR': 1.700714451926095, 'Vol_Ratio': 2.5567656968918526, 'nATR': 9.608555811404699, 'VCP_Ratio': 1.1880122250981946, 'Consolidation_Width': 47.74010985896612, 'Dry_Up_Volume': 1.663272308193087, 'RSI_14': 54.09734998434047, 'RSI_Regime': 1.0, 'Dist_From_52W_High': 0.0, 'Is_Green_Day': 1.0, 'Green_Days_Ratio_20D': 0.4, 'SMA_50_Slope': 1.2266537961618371, 'alpha001': None, 'alpha006': None, 'alpha009': None, 'alpha012': None, 'alpha101': None}",2025-12-03,active,
