Ticker,Entry Date,Exit Date,Entry Price,Exit Price,Shares,PnL $,PnL %,Exit Reason,Position Value
HPQ,2024-11-25,2024-11-27,37.77,34.74,150,-454.50000000000017,-8.022239872915014,Stop Loss,5665.500000000001
FISV,2024-11-25,2024-12-05,221.76,204.02,22,-390.2799999999996,-7.999639249639241,Stop Loss,4878.719999999999
AJG,2024-11-27,2024-12-09,312.64,287.62,16,-400.3199999999997,-8.002814738996925,Stop Loss,5002.24
SNA,2024-11-25,2024-12-18,360.8,331.94,34,-981.2400000000005,-7.998891352549893,Stop Loss,12267.2
PNR,2024-11-25,2024-12-18,106.85,100.15259552001953,102,-683.1352569580072,-6.268043500215689,Trend Break (50 SMA),10898.699999999999
AIZ,2024-11-25,2024-12-18,224.06,206.14,32,-573.4400000000005,-7.997857716683038,Stop Loss,7169.92
NTRS,2024-11-25,2024-12-18,107.48,98.89,60,-515.4000000000002,-7.992184592482325,Stop Loss,6448.8
IVZ,2024-12-09,2024-12-18,17.58,16.18,279,-390.5999999999996,-7.963594994311711,Stop Loss,4904.82
CCL,2024-12-20,2024-12-30,26.8,24.66,260,-556.4000000000001,-7.985074626865673,Stop Loss,6968.0
PLTR,2024-12-20,2024-12-31,80.55,74.11,75,-482.99999999999983,-7.995034140285534,Stop Loss,6041.25
GDDY,2024-11-25,2025-01-10,197.43,192.86000061035156,42,-191.93997436523466,-2.314744157244818,Trend Break (50 SMA),8292.06
AAPL,2024-12-20,2025-01-10,253.34,233.08,31,-628.0599999999997,-7.997157969527113,Stop Loss,7853.54
GRMN,2024-11-25,2025-01-13,211.27,205.99327087402344,45,-237.45281066894577,-2.4976234798961388,Trend Break (50 SMA),9507.15
VST,2025-01-03,2025-01-27,161.7,148.76,34,-439.9599999999999,-8.00247371675943,Stop Loss,5497.799999999999
DAL,2025-01-10,2025-02-13,66.16,60.86,101,-535.2999999999997,-8.010882708585244,Stop Loss,6682.16
UAL,2025-01-10,2025-02-13,107.11,98.54,55,-471.3499999999996,-8.001120343572023,Stop Loss,5891.05
WMT,2024-12-05,2025-02-21,94.38,94.07273864746094,52,-15.977590332031014,-0.32555769499794235,Trend Break (50 SMA),4907.76
EQT,2024-12-30,2025-02-25,46.04,48.40335464477539,119,281.2392027282716,5.133263781006497,Trend Break (50 SMA),5478.76
META,2025-01-27,2025-03-04,658.34,638.508544921875,9,-178.4830957031253,-3.012342418526146,Trend Break (50 SMA),5925.06
MCO,2025-02-13,2025-03-04,523.49,481.61,11,-460.67999999999995,-8.000152820493227,Stop Loss,5758.39
TYL,2025-02-13,2025-03-07,646.74,595.0,10,-517.4000000000001,-8.000123697312677,Stop Loss,6467.4
ETR,2025-01-13,2025-03-10,74.96,78.82755279541016,84,324.87443481445365,5.159488787900431,Trend Break (50 SMA),6296.639999999999
DRI,2024-12-20,2025-03-11,182.07,185.232421875,29,91.7102343750002,1.7369263882023436,Trend Break (50 SMA),5280.03
LH,2025-03-04,2025-03-11,255.4,237.93771362304688,25,-436.55715942382824,-6.837230374687992,Trend Break (50 SMA),6385.0
PAYX,2025-03-10,2025-03-12,150.81,141.52549743652344,40,-371.3801025390626,-6.156423687737262,Trend Break (50 SMA),6032.4
FOXA,2024-12-18,2025-03-13,48.97,50.805912017822266,186,341.4796353149416,3.749054559571711,Trend Break (50 SMA),9108.42
LUV,2025-03-14,2025-04-03,31.37,28.86,219,-549.6900000000004,-8.001275103602172,Stop Loss,6870.030000000001
DGX,2025-02-25,2025-04-04,173.0,161.92218017578125,34,-376.6458740234375,-6.403364060242052,Trend Break (50 SMA),5882.0
ALL,2025-03-11,2025-04-04,199.63,184.76206970214844,34,-505.50963012695297,-7.447743474353333,Trend Break (50 SMA),6787.42
WEC,2025-02-21,2025-04-07,101.5,100.67784118652344,58,-47.685211181640625,-0.8100086832281405,Trend Break (50 SMA),5887.0
AZO,2025-03-06,2025-04-07,3615.79,3478.3798828125,1,-137.41011718749996,-3.800279252597633,Trend Break (50 SMA),3615.79
DUK,2025-03-14,2025-04-08,117.0,112.93840789794922,67,-272.12667083740234,-3.471446241069044,Trend Break (50 SMA),7839.0
CVS,2025-04-09,2025-04-17,68.16,62.7,130,-709.7999999999992,-8.010563380281681,Stop Loss,8860.8
AWK,2025-03-07,2025-05-12,142.79,136.15370178222656,42,-278.72452514648404,-4.647593121208369,Trend Break (50 SMA),5997.179999999999
ATO,2025-04-15,2025-05-13,153.72,151.1517791748047,38,-97.59239135742183,-1.6707135214645532,Trend Break (50 SMA),5841.36
KR,2025-04-17,2025-05-13,70.14,66.4703598022461,89,-326.5979776000977,-5.231879380886665,Trend Break (50 SMA),6242.46
DGX,2025-04-22,2025-05-21,171.3,168.95884704589844,32,-74.91689453125036,-1.3666975797440595,Trend Break (50 SMA),5481.6
CPAY,2025-05-13,2025-05-21,354.82,328.0,17,-455.9399999999999,-7.5587621892790695,Trend Break (50 SMA),6031.94
CNP,2025-03-14,2025-06-04,34.87,36.5842399597168,172,294.84927307128953,4.916088212551763,Trend Break (50 SMA),5997.639999999999
CME,2025-04-03,2025-06-09,265.87,267.0725402832031,22,26.45588623046865,0.45230386399485484,Trend Break (50 SMA),5849.14
TJX,2025-04-09,2025-06-09,124.88,125.58697509765625,62,43.83245605468778,0.5661235567394736,Trend Break (50 SMA),7742.5599999999995
PODD,2025-05-12,2025-07-07,316.67,300.70001220703125,17,-271.489792480469,-5.043100954611666,Trend Break (50 SMA),5383.39
ADSK,2025-05-27,2025-07-10,300.36,286.1099853515625,18,-256.50026367187525,-4.74431170876199,Trend Break (50 SMA),5406.4800000000005
LUV,2025-07-10,2025-07-24,37.14,34.17,151,-448.4699999999998,-7.9967689822293995,Stop Loss,5608.14
UBER,2025-07-07,2025-07-29,96.68,88.95,58,-448.34000000000026,-7.995448903599507,Stop Loss,5607.4400000000005
GRMN,2025-07-29,2025-07-30,238.41,219.33,23,-438.83999999999963,-8.003020007550013,Stop Loss,5483.43
HBAN,2025-06-09,2025-08-01,15.93,15.897361755371094,413,-13.479595031738164,-0.20488540256689247,Trend Break (50 SMA),6579.09
FOXA,2025-05-13,2025-08-05,54.99,54.63825225830078,101,-35.526521911621295,-0.6396576499349349,Trend Break (50 SMA),5553.99
AXON,2025-08-05,2025-08-12,867.12,797.75,6,-416.22,-8.000046129716765,Stop Loss,5202.72
CEG,2025-05-23,2025-08-19,296.79,316.87139892578125,21,421.7093774414058,6.766197960100148,Trend Break (50 SMA),6232.59
JBL,2025-06-10,2025-08-19,177.9,206.01832580566406,32,899.7864257812498,15.805691852537413,Trend Break (50 SMA),5692.8
WEC,2025-08-01,2025-08-28,108.47,105.46038818359375,51,-153.4902026367187,-2.774602946811329,Trend Break (50 SMA),5531.97
HOOD,2025-06-05,2025-09-02,72.51,100.83999633789062,76,2153.0797216796873,39.070467987712895,Trend Break (50 SMA),5510.76
FAST,2025-04-11,2025-09-16,39.71,47.00564193725586,172,1254.8504132080077,18.372304047483905,Trend Break (50 SMA),6830.12
ETR,2025-07-30,2025-09-18,88.11,87.24774932861328,62,-53.45954162597653,-0.9786070495820204,Trend Break (50 SMA),5462.82
ADI,2025-08-20,2025-10-01,243.91,239.27999877929688,23,-106.4900280761718,-1.898241654996975,Trend Break (50 SMA),5609.93
WYNN,2025-08-19,2025-10-10,112.6,119.64173889160156,57,401.37911682128936,6.253764557372618,Trend Break (50 SMA),6418.2
GEV,2025-10-13,2025-10-15,647.98,615.693359375,9,-290.57976562500016,-4.982660055094295,Trend Break (50 SMA),5831.82
FFIV,2025-08-12,2025-10-16,326.47,300.35,17,-444.0400000000001,-8.000735136459706,Stop Loss,5549.990000000001
JPM,2025-09-16,2025-10-16,307.69,298.5400085449219,20,-182.99982910156245,-2.973769526171836,Trend Break (50 SMA),6153.8
NEM,2025-09-02,2025-10-27,75.61,78.62999725341797,78,235.5597857666016,3.994177031368826,Trend Break (50 SMA),5897.58
GRMN,2025-08-28,2025-10-29,240.15,220.94,23,-441.83000000000015,-7.9991671871746854,Stop Loss,5523.45
GNRC,2025-10-15,2025-10-29,191.67,176.34,31,-475.2299999999995,-7.998121771795265,Stop Loss,5941.7699999999995
NUE,2025-10-29,2025-11-07,154.43,142.08,37,-456.9499999999998,-7.997150812665929,Stop Loss,5713.91
CVS,2025-10-01,2025-11-19,76.25,76.55000305175781,79,23.700241088867188,0.39344662525614754,Trend Break (50 SMA),6023.75
PODD,2025-11-19,2025-11-20,346.36,318.65,16,-443.3600000000006,-8.000346460330302,Stop Loss,5541.76
