feature,gain,rank,gain_pct,cumulative_pct
log_debt_to_equity,0.042304296,1,4.23,4.23
log_Price_vs_SMA_50_Lag1,0.02972887,2,2.97,7.2
log_pb_ratio,0.027019266,3,2.7,9.9
log_volume_acceleration,0.026543159,4,2.65,12.55
alpha011,0.022039523,5,2.2,14.75
industry_id,0.021365294,6,2.14,16.89
log_Price_vs_SMA_200,0.020352451,7,2.04,18.93
alpha101,0.019461917,8,1.95,20.88
turnover_ma20,0.019447297,9,1.94,22.82
m03_pillar_risk,0.01935477,10,1.94,24.76
log_Price_vs_SMA_50,0.0189974,11,1.9,26.66
Dist_From_20D_High_Delta,0.018538916,12,1.85,28.51
alpha041,0.018522074,13,1.85,30.36
log_alpha001,0.018363936,14,1.84,32.2
m03_delta_20d,0.018072406,15,1.81,34.01
roe,0.017945306,16,1.79,35.8
log_VCP_Ratio_Delta,0.017008549,17,1.7,37.5
operating_margin,0.016945543,18,1.69,39.19
current_ratio,0.016901938,19,1.69,40.88
m03_regime_vol,0.016889319,20,1.69,42.57
log_eps_growth_yoy,0.016884072,21,1.69,44.26
log_alpha060,0.016800603,22,1.68,45.94
log_Price_vs_SMA_200_Delta,0.016249724,23,1.62,47.56
m03_pillar_liq,0.015996136,24,1.6,49.16
pe_ratio,0.015842915,25,1.58,50.74
log_price_momentum_curve,0.015713882,26,1.57,52.31
log_volume_velocity,0.015449312,27,1.54,53.85
log_Dist_From_20D_Low_Delta,0.014923305,28,1.49,55.34
Price_vs_SMA_150_Delta,0.014814475,29,1.48,56.82
log_days_since_report,0.014737312,30,1.47,58.29
m03_score,0.014297676,31,1.43,59.72
log_breakout_momentum,0.014212002,32,1.42,61.14
m03_pillar_trend,0.014048461,33,1.4,62.54
alpha012,0.014028339,34,1.4,63.94
alpha006,0.013671729,35,1.37,65.31
log_Dry_Up_Volume_Lag1,0.013624706,36,1.36,66.67
alpha002,0.013004719,37,1.3,67.97
gross_margin,0.012616714,38,1.26,69.23
alpha054,0.0118351355,39,1.18,70.41
log_mom_63d,0.011135675,40,1.11,71.52
alpha046,0.010988468,41,1.1,72.62
log_vol_ma20,0.010969163,42,1.1,73.72
RSI_14,0.010967093,43,1.1,74.82
ps_ratio,0.010956279,44,1.1,75.92
Price_vs_SMA_50_Delta,0.010901934,45,1.09,77.01
net_income_growth_yoy,0.010891676,46,1.09,78.1
eps_stability_score,0.010766791,47,1.08,79.18
log_RS,0.0106160855,48,1.06,80.24
log_fcf_margin,0.010564966,49,1.06,81.3
alpha004,0.010530593,50,1.05,82.35
log_High_52W_Delta,0.010505678,51,1.05,83.4
log_Dry_Up_Volume_Delta,0.010494814,52,1.05,84.45
log_eps_accel,0.0103135435,53,1.03,85.48
log_Dist_From_52W_Low_Delta,0.0102178175,54,1.02,86.5
VCP_Ratio,0.009893003,55,0.99,87.49
roa,0.009865297,56,0.99,88.48
log_revenue_accel,0.009476531,57,0.95,89.43
alpha013,0.009366463,58,0.94,90.37
inventory_vs_sales_spread,0.009146264,59,0.91,91.28
log_revenue_cagr_3y,0.009041827,60,0.9,92.18
earnings_quality_score,0.008878921,61,0.89,93.07
alpha015,0.0085023735,62,0.85,93.92
m03_delta_5d,0.0084077995,63,0.84,94.76
log_revenue_growth_yoy,0.007984875,64,0.8,95.56
sector_id,0.0074746185,65,0.75,96.31
log_alpha009,0.006826396,66,0.68,96.99
log_gross_margin_trend,0.006427821,67,0.64,97.63
RS_Universe_Rank,0.006274399,68,0.63,98.26
Dist_From_52W_High_Delta,0.0061765662,69,0.62,98.88
RS_vs_Sector,0.005748725,70,0.57,99.45
peg_adjusted,0.005134032,71,0.51,99.96
Is_Green_Day,0.0,72,0.0,99.96
