feature,gain,rank,gain_pct,cumulative_pct
m03_pillar_risk,0.026051015,1,2.61,2.61
industry_id,0.025317594,2,2.53,5.14
alpha011,0.023536284,3,2.35,7.49
log_alpha009,0.02084371,4,2.08,9.57
log_Price_vs_SMA_200,0.020270701,5,2.03,11.6
m03_pillar_trend,0.020062396,6,2.01,13.61
log_Price_vs_SMA_50,0.019944515,7,1.99,15.6
m03_pillar_liq,0.019781454,8,1.98,17.58
log_gross_margin_trend,0.019547602,9,1.95,19.53
log_alpha060,0.019477492,10,1.95,21.48
log_High_52W_Delta,0.017877875,11,1.79,23.27
RS_Universe_Rank,0.017801782,12,1.78,25.05
log_Dist_From_52W_Low_Delta,0.017109102,13,1.71,26.76
log_Price_vs_SMA_50_Lag1,0.016960945,14,1.7,28.46
m03_delta_5d,0.016153408,15,1.62,30.08
alpha101,0.015931085,16,1.59,31.67
m03_score,0.015893126,17,1.59,33.26
RS_vs_Sector,0.01584453,18,1.58,34.84
m03_regime_vol,0.015510742,19,1.55,36.39
log_Dist_From_20D_Low_Delta,0.015229399,20,1.52,37.91
log_revenue_accel,0.015217692,21,1.52,39.43
alpha046,0.01514441,22,1.51,40.94
log_mom_63d,0.014783362,23,1.48,42.42
alpha054,0.014734859,24,1.47,43.89
log_Price_vs_SMA_200_Delta,0.014728054,25,1.47,45.36
log_revenue_growth_yoy,0.014688431,26,1.47,46.83
log_days_since_report,0.014468766,27,1.45,48.28
operating_margin,0.014346231,28,1.43,49.71
gross_margin,0.014336495,29,1.43,51.14
ps_ratio,0.014223129,30,1.42,52.56
log_volume_acceleration,0.014055995,31,1.41,53.97
alpha006,0.01392229,32,1.39,55.36
current_ratio,0.013882134,33,1.39,56.75
VCP_Ratio,0.013728962,34,1.37,58.12
Dist_From_20D_High_Delta,0.013689465,35,1.37,59.49
log_Dry_Up_Volume_Lag1,0.013599566,36,1.36,60.85
alpha012,0.013512438,37,1.35,62.2
log_RS,0.013142377,38,1.31,63.51
roa,0.0131216,39,1.31,64.82
log_eps_growth_yoy,0.013074231,40,1.31,66.13
log_fcf_margin,0.013036368,41,1.3,67.43
alpha041,0.012957681,42,1.3,68.73
alpha013,0.012794252,43,1.28,70.01
roe,0.012704729,44,1.27,71.28
log_vol_ma20,0.012487735,45,1.25,72.53
log_alpha001,0.01248115,46,1.25,73.78
Price_vs_SMA_50_Delta,0.012426931,47,1.24,75.02
log_Dry_Up_Volume_Delta,0.012424409,48,1.24,76.26
turnover_ma20,0.012394544,49,1.24,77.5
RSI_14,0.012388919,50,1.24,78.74
net_income_growth_yoy,0.012286558,51,1.23,79.97
log_volume_velocity,0.01201782,52,1.2,81.17
pe_ratio,0.011857565,53,1.19,82.36
log_revenue_cagr_3y,0.011694241,54,1.17,83.53
log_pb_ratio,0.011483872,55,1.15,84.68
log_eps_accel,0.011129028,56,1.11,85.79
sector_id,0.011106289,57,1.11,86.9
log_debt_to_equity,0.011104811,58,1.11,88.01
earnings_quality_score,0.010971234,59,1.1,89.11
inventory_vs_sales_spread,0.010795646,60,1.08,90.19
alpha002,0.0106304325,61,1.06,91.25
Dist_From_52W_High_Delta,0.010454737,62,1.05,92.3
m03_delta_20d,0.010368931,63,1.04,93.34
log_VCP_Ratio_Delta,0.0103176795,64,1.03,94.37
log_breakout_momentum,0.010209176,65,1.02,95.39
alpha015,0.0097501315,66,0.98,96.37
Price_vs_SMA_150_Delta,0.009208544,67,0.92,97.29
log_price_momentum_curve,0.009191534,68,0.92,98.21
eps_stability_score,0.009058236,69,0.91,99.12
peg_adjusted,0.007762085,70,0.78,99.9
alpha004,0.00095944584,71,0.1,100.0
Is_Green_Day,0.0,72,0.0,100.0
