feature,gain,rank,gain_pct,cumulative_pct
log_Price_vs_SMA_200,0.09936389,1,9.94,9.94
log_Price_vs_SMA_50,0.09516032,2,9.52,19.46
industry_id,0.027397228,3,2.74,22.2
m03_pillar_risk,0.026141629,4,2.61,24.81
alpha011,0.024502965,5,2.45,27.26
alpha054,0.019570345,6,1.96,29.22
log_RS,0.016681433,7,1.67,30.89
log_mom_63d,0.016422872,8,1.64,32.53
m03_pillar_trend,0.015516051,9,1.55,34.08
m03_score,0.015286516,10,1.53,35.61
sector_id,0.014730605,11,1.47,37.08
alpha004,0.014332462,12,1.43,38.51
alpha013,0.014051798,13,1.41,39.92
log_revenue_growth_yoy,0.014041468,14,1.4,41.32
m03_regime_vol,0.013619658,15,1.36,42.68
alpha041,0.0135318795,16,1.35,44.03
m03_pillar_liq,0.013398164,17,1.34,45.37
VCP_Ratio,0.012826751,18,1.28,46.65
operating_margin,0.012467171,19,1.25,47.9
log_Price_vs_SMA_50_Lag1,0.012288037,20,1.23,49.13
log_vol_ma20,0.012235471,21,1.22,50.35
log_revenue_accel,0.012216481,22,1.22,51.57
alpha101,0.0120462915,23,1.2,52.77
pe_ratio,0.011982326,24,1.2,53.97
current_ratio,0.011555055,25,1.16,55.13
peg_adjusted,0.011529351,26,1.15,56.28
gross_margin,0.01140275,27,1.14,57.42
log_gross_margin_trend,0.011277432,28,1.13,58.55
m03_delta_20d,0.011270633,29,1.13,59.68
log_pb_ratio,0.0112682255,30,1.13,60.81
Dist_From_52W_High_Delta,0.011219109,31,1.12,61.93
roa,0.011136996,32,1.11,63.04
alpha012,0.011115977,33,1.11,64.15
log_debt_to_equity,0.011091945,34,1.11,65.26
log_alpha060,0.011046923,35,1.1,66.36
roe,0.010958011,36,1.1,67.46
log_Dry_Up_Volume_Lag1,0.010770275,37,1.08,68.54
Price_vs_SMA_50_Delta,0.010669898,38,1.07,69.61
turnover_ma20,0.010581985,39,1.06,70.67
log_fcf_margin,0.010565176,40,1.06,71.73
log_volume_acceleration,0.010497643,41,1.05,72.78
log_days_since_report,0.0103802625,42,1.04,73.82
log_revenue_cagr_3y,0.010115178,43,1.01,74.83
log_Price_vs_SMA_200_Delta,0.010010722,44,1.0,75.83
net_income_growth_yoy,0.009837356,45,0.98,76.81
m03_delta_5d,0.009805516,46,0.98,77.79
log_Dist_From_52W_Low_Delta,0.009782229,47,0.98,78.77
log_eps_accel,0.009678989,48,0.97,79.74
Price_vs_SMA_150_Delta,0.009605347,49,0.96,80.7
log_High_52W_Delta,0.009528813,50,0.95,81.65
RSI_14,0.009512503,51,0.95,82.6
log_VCP_Ratio_Delta,0.009459188,52,0.95,83.55
log_price_momentum_curve,0.0093585765,53,0.94,84.49
log_alpha001,0.009347609,54,0.93,85.42
Dist_From_20D_High_Delta,0.009179535,55,0.92,86.34
ps_ratio,0.009170832,56,0.92,87.26
alpha006,0.009110463,57,0.91,88.17
alpha002,0.009040037,58,0.9,89.07
log_alpha009,0.009017862,59,0.9,89.97
RS_Universe_Rank,0.00901755,60,0.9,90.87
log_eps_growth_yoy,0.009010479,61,0.9,91.77
log_volume_velocity,0.008804656,62,0.88,92.65
RS_vs_Sector,0.008697065,63,0.87,93.52
log_breakout_momentum,0.00869446,64,0.87,94.39
earnings_quality_score,0.008438661,65,0.84,95.23
eps_stability_score,0.008388648,66,0.84,96.07
log_Dry_Up_Volume_Delta,0.0082424665,67,0.82,96.89
inventory_vs_sales_spread,0.008188662,68,0.82,97.71
log_Dist_From_20D_Low_Delta,0.0076596225,69,0.77,98.48
alpha015,0.0076010274,70,0.76,99.24
alpha046,0.0075464807,71,0.75,99.99
Is_Green_Day,0.0,72,0.0,99.99
