feature,gain,rank,gain_pct,cumulative_pct
alpha046,0.047354642,1,4.74,4.74
earnings_quality_score,0.046202898,2,4.62,9.36
alpha041,0.028028466,3,2.8,12.16
turnover_ma20,0.027912386,4,2.79,14.95
log_alpha001,0.027072359,5,2.71,17.66
log_RS,0.026415277,6,2.64,20.3
m03_delta_20d,0.022668183,7,2.27,22.57
log_Price_vs_SMA_50,0.02218453,8,2.22,24.79
log_pb_ratio,0.021557858,9,2.16,26.95
eps_stability_score,0.021180626,10,2.12,29.07
Price_vs_SMA_150_Delta,0.020337049,11,2.03,31.1
log_volume_acceleration,0.019855784,12,1.99,33.09
log_vol_ma20,0.01949777,13,1.95,35.04
alpha012,0.018483516,14,1.85,36.89
m03_regime_vol,0.01820202,15,1.82,38.71
m03_pillar_risk,0.017319381,16,1.73,40.44
ps_ratio,0.017147478,17,1.71,42.15
sector_id,0.017140327,18,1.71,43.86
industry_id,0.01704485,19,1.7,45.56
m03_pillar_liq,0.016937722,20,1.69,47.25
log_debt_to_equity,0.016796349,21,1.68,48.93
alpha011,0.016373575,22,1.64,50.57
operating_margin,0.016015964,23,1.6,52.17
alpha006,0.015884869,24,1.59,53.76
current_ratio,0.015205712,25,1.52,55.28
log_Price_vs_SMA_200,0.015087885,26,1.51,56.79
log_Dry_Up_Volume_Delta,0.014641314,27,1.46,58.25
gross_margin,0.014555192,28,1.46,59.71
log_eps_accel,0.014546429,29,1.45,61.16
log_volume_velocity,0.014288179,30,1.43,62.59
log_High_52W_Delta,0.013919924,31,1.39,63.98
log_Dry_Up_Volume_Lag1,0.013799202,32,1.38,65.36
log_Dist_From_52W_Low_Delta,0.013685676,33,1.37,66.73
m03_score,0.012718684,34,1.27,68.0
log_revenue_growth_yoy,0.012587645,35,1.26,69.26
m03_pillar_trend,0.0122342305,36,1.22,70.48
log_VCP_Ratio_Delta,0.012214762,37,1.22,71.7
log_breakout_momentum,0.012207278,38,1.22,72.92
log_price_momentum_curve,0.01209995,39,1.21,74.13
alpha054,0.011728293,40,1.17,75.3
Dist_From_20D_High_Delta,0.01167856,41,1.17,76.47
log_Price_vs_SMA_50_Lag1,0.011057583,42,1.11,77.58
log_Price_vs_SMA_200_Delta,0.010916167,43,1.09,78.67
log_fcf_margin,0.010873277,44,1.09,79.76
log_gross_margin_trend,0.0106621,45,1.07,80.83
log_mom_63d,0.010122973,46,1.01,81.84
alpha101,0.0096134795,47,0.96,82.8
m03_delta_5d,0.009568838,48,0.96,83.76
log_alpha060,0.0092924135,49,0.93,84.69
log_revenue_cagr_3y,0.008769317,50,0.88,85.57
log_revenue_accel,0.008640226,51,0.86,86.43
roa,0.008638704,52,0.86,87.29
inventory_vs_sales_spread,0.008518369,53,0.85,88.14
alpha015,0.0081908535,54,0.82,88.96
log_Dist_From_20D_Low_Delta,0.008168755,55,0.82,89.78
Dist_From_52W_High_Delta,0.008124419,56,0.81,90.59
RS_Universe_Rank,0.008043514,57,0.8,91.39
pe_ratio,0.008017478,58,0.8,92.19
log_alpha009,0.0075345654,59,0.75,92.94
net_income_growth_yoy,0.007467477,60,0.75,93.69
roe,0.0074643423,61,0.75,94.44
alpha002,0.007188721,62,0.72,95.16
VCP_Ratio,0.006847584,63,0.68,95.84
alpha013,0.006597169,64,0.66,96.5
log_days_since_report,0.006202793,65,0.62,97.12
log_eps_growth_yoy,0.0060185865,66,0.6,97.72
peg_adjusted,0.0050356113,67,0.5,98.22
RSI_14,0.0048962194,68,0.49,98.71
Price_vs_SMA_50_Delta,0.0048950235,69,0.49,99.2
alpha004,0.0042254557,70,0.42,99.62
RS_vs_Sector,0.003595175,71,0.36,99.98
Is_Green_Day,0.0,72,0.0,99.98
