feature,gain,rank,gain_pct,cumulative_pct
m03_pillar_risk,0.026809977,1,2.68,2.68
industry_id,0.02647831,2,2.65,5.33
alpha011,0.026193082,3,2.62,7.95
log_Price_vs_SMA_50_Lag1,0.025030049,4,2.5,10.45
log_Price_vs_SMA_200,0.02452881,5,2.45,12.9
log_Price_vs_SMA_50,0.023503462,6,2.35,15.25
m03_pillar_trend,0.023159971,7,2.32,17.57
Dist_From_20D_High_Delta,0.018006068,8,1.8,19.37
VCP_Ratio,0.017831964,9,1.78,21.15
m03_score,0.017527925,10,1.75,22.9
log_fcf_margin,0.017451808,11,1.75,24.65
alpha054,0.016639173,12,1.66,26.31
log_Dry_Up_Volume_Lag1,0.016366765,13,1.64,27.95
alpha015,0.015988678,14,1.6,29.55
log_revenue_cagr_3y,0.015963366,15,1.6,31.15
RSI_14,0.015639175,16,1.56,32.71
log_volume_velocity,0.015483994,17,1.55,34.26
alpha013,0.015176955,18,1.52,35.78
sector_id,0.014891674,19,1.49,37.27
roa,0.014886015,20,1.49,38.76
log_revenue_accel,0.014870065,21,1.49,40.25
log_Dist_From_20D_Low_Delta,0.014857617,22,1.49,41.74
m03_regime_vol,0.014836895,23,1.48,43.22
Price_vs_SMA_50_Delta,0.014586804,24,1.46,44.68
log_debt_to_equity,0.014438485,25,1.44,46.12
log_High_52W_Delta,0.014315467,26,1.43,47.55
inventory_vs_sales_spread,0.014302643,27,1.43,48.98
log_days_since_report,0.014116844,28,1.41,50.39
current_ratio,0.014038659,29,1.4,51.79
ps_ratio,0.013660915,30,1.37,53.16
RS_Universe_Rank,0.013406619,31,1.34,54.5
log_mom_63d,0.01334143,32,1.33,55.83
log_Price_vs_SMA_200_Delta,0.013292194,33,1.33,57.16
log_revenue_growth_yoy,0.0132500585,34,1.33,58.49
turnover_ma20,0.013133482,35,1.31,59.8
log_vol_ma20,0.013118092,36,1.31,61.11
operating_margin,0.0131068155,37,1.31,62.42
m03_pillar_liq,0.012909433,38,1.29,63.71
gross_margin,0.012785532,39,1.28,64.99
log_breakout_momentum,0.01268635,40,1.27,66.26
log_volume_acceleration,0.012656027,41,1.27,67.53
Price_vs_SMA_150_Delta,0.012591673,42,1.26,68.79
net_income_growth_yoy,0.012552172,43,1.26,70.05
log_eps_growth_yoy,0.0124392565,44,1.24,71.29
log_alpha009,0.012406139,45,1.24,72.53
alpha041,0.01233343,46,1.23,73.76
log_Dry_Up_Volume_Delta,0.012313452,47,1.23,74.99
log_alpha060,0.012307957,48,1.23,76.22
log_Dist_From_52W_Low_Delta,0.01221399,49,1.22,77.44
alpha002,0.012133192,50,1.21,78.65
m03_delta_5d,0.0120983375,51,1.21,79.86
log_gross_margin_trend,0.012082023,52,1.21,81.07
alpha006,0.011938482,53,1.19,82.26
log_eps_accel,0.011825272,54,1.18,83.44
earnings_quality_score,0.01150921,55,1.15,84.59
log_VCP_Ratio_Delta,0.01135921,56,1.14,85.73
alpha046,0.011282831,57,1.13,86.86
log_RS,0.011251284,58,1.13,87.99
m03_delta_20d,0.011217047,59,1.12,89.11
alpha101,0.011006448,60,1.1,90.21
log_alpha001,0.01096887,61,1.1,91.31
log_pb_ratio,0.010857276,62,1.09,92.4
eps_stability_score,0.010628281,63,1.06,93.46
pe_ratio,0.010486982,64,1.05,94.51
roe,0.010471017,65,1.05,95.56
peg_adjusted,0.009696631,66,0.97,96.53
alpha012,0.009446275,67,0.94,97.47
log_price_momentum_curve,0.008235168,68,0.82,98.29
RS_vs_Sector,0.008182001,69,0.82,99.11
Dist_From_52W_High_Delta,0.0075622573,70,0.76,99.87
alpha004,0.0013361846,71,0.13,100.0
Is_Green_Day,0.0,72,0.0,100.0
