rank,feature,gain,gain_pct,cumulative_pct
1,eps_growth_yoy,3256.5087890625,6.97,6.97
2,RS_Delta,3128.927001953125,6.7,13.67
3,Price_vs_SMA_50,2941.609130859375,6.3,19.97
4,eps_accel,2788.6591796875,5.97,25.94
5,alpha060,2640.707763671875,5.65,31.59
6,RS,2524.200927734375,5.4,36.99
7,alpha011,2522.734375,5.4,42.39
8,pe_ratio,2354.72314453125,5.04,47.43
9,SMA_50_Slope,2193.321533203125,4.7,52.13
10,revenue_accel,2159.38720703125,4.62,56.75
11,operating_margin,2131.8603515625,4.56,61.31
12,Dist_From_20D_Low,2091.798828125,4.48,65.79
13,nATR,2047.6470947265625,4.38,70.17
14,Dry_Up_Volume,2033.26708984375,4.35,74.52
15,alpha013,1948.9539794921875,4.17,78.69
16,Price_vs_SMA_200,1938.561279296875,4.15,82.84
17,alpha101,1825.515625,3.91,86.75
18,Dist_From_52W_High,1804.6610107421875,3.86,90.61
19,VCP_Ratio,1780.7698974609375,3.81,94.42
20,alpha041,1479.5118408203125,3.17,97.59
21,alpha009,1122.0672607421875,2.4,99.99
