feature,gain,rank,gain_pct,cumulative_pct
alpha060,0.06473771,1,6.47,6.47
RS_Delta,0.060813367,2,6.08,12.55
eps_accel,0.059851985,3,5.99,18.54
Price_vs_SMA_50,0.057982475,4,5.8,24.34
pe_ratio,0.05502304,5,5.5,29.84
alpha101,0.054232493,6,5.42,35.26
eps_growth_yoy,0.05373577,7,5.37,40.63
alpha011,0.051369138,8,5.14,45.77
SMA_50_Slope,0.050091248,9,5.01,50.78
revenue_accel,0.04756739,10,4.76,55.54
operating_margin,0.0455564,11,4.56,60.1
Dist_From_20D_Low,0.04394534,12,4.39,64.49
Dist_From_52W_High,0.04310384,13,4.31,68.8
alpha009,0.04234737,14,4.23,73.03
nATR,0.04164248,15,4.16,77.19
Dry_Up_Volume,0.041049674,16,4.1,81.29
RS,0.040786535,17,4.08,85.37
alpha013,0.037159484,18,3.72,89.09
VCP_Ratio,0.036705557,19,3.67,92.76
alpha041,0.03627081,20,3.63,96.39
Price_vs_SMA_200,0.036027864,21,3.6,99.99
