feature,gain,rank,gain_pct,cumulative_pct
log_Dist_From_52W_Low,0.05323847,1,5.32,5.32
log_Price_vs_SMA_200,0.025612375,2,2.56,7.88
m03_score,0.025406992,3,2.54,10.42
log_days_since_report,0.02468573,4,2.47,12.89
alpha011,0.023948427,5,2.39,15.28
log_nATR,0.02280715,6,2.28,17.56
VCP_Ratio,0.022302497,7,2.23,19.79
Price_vs_SMA_50_Delta,0.02143497,8,2.14,21.93
Dist_From_52W_High,0.021276655,9,2.13,24.06
RSI_14,0.020999752,10,2.1,26.16
SMA_50_Slope,0.020942401,11,2.09,28.25
m03_pillar_risk,0.019477766,12,1.95,30.2
log_Dry_Up_Volume_Delta,0.018459408,13,1.85,32.05
alpha013,0.017269148,14,1.73,33.78
log_breakout_momentum,0.016881576,15,1.69,35.47
m03_regime_vol,0.016790306,16,1.68,37.15
m03_delta_20d,0.016449636,17,1.64,38.79
eps_stability_score,0.016442986,18,1.64,40.43
m03_pillar_trend,0.015872825,19,1.59,42.02
alpha101,0.01570423,20,1.57,43.59
alpha006,0.01569002,21,1.57,45.16
price_accel_10d,0.0156009,22,1.56,46.72
m03_delta_5d,0.0153329875,23,1.53,48.25
is_declining_earnings,0.015198163,24,1.52,49.77
log_gross_margin_trend,0.014939755,25,1.49,51.26
log_Price_vs_SMA_200_Delta,0.014771848,26,1.48,52.74
alpha012,0.0147471,27,1.47,54.21
Price_vs_SMA_150_Delta,0.014743714,28,1.47,55.68
log_Dist_From_20D_Low_Delta,0.014627842,29,1.46,57.14
m03_pillar_liq,0.014620311,30,1.46,58.6
log_eps_accel,0.014550973,31,1.46,60.06
log_fcf_margin,0.014170105,32,1.42,61.48
log_volume_velocity,0.014146725,33,1.41,62.89
log_revenue_growth_yoy,0.0141096,34,1.41,64.3
earnings_quality_score,0.014089156,35,1.41,65.71
peg_adjusted,0.013966572,36,1.4,67.11
log_alpha060,0.0137974825,37,1.38,68.49
Dist_From_20D_High_Delta,0.013795454,38,1.38,69.87
alpha054,0.013765888,39,1.38,71.25
log_RS_MA_Delta,0.013632684,40,1.36,72.61
log_pb_ratio,0.013589021,41,1.36,73.97
log_RS_Delta,0.013588999,42,1.36,75.33
roa,0.013546751,43,1.35,76.68
rs_velocity,0.013350802,44,1.34,78.02
alpha041,0.013267905,45,1.33,79.35
log_revenue_cagr_3y,0.013080855,46,1.31,80.66
log_volume_acceleration,0.012739735,47,1.27,81.93
roe,0.012737951,48,1.27,83.2
log_Dry_Up_Volume,0.012587923,49,1.26,84.46
log_revenue_accel,0.012542126,50,1.25,85.71
log_debt_to_equity,0.012535698,51,1.25,86.96
log_alpha001,0.012423568,52,1.24,88.2
alpha002,0.012262759,53,1.23,89.43
log_current_ratio,0.012245109,54,1.22,90.65
log_nATR_Delta,0.012108985,55,1.21,91.86
alpha015,0.012025914,56,1.2,93.06
pe_ratio,0.012018775,57,1.2,94.26
ps_ratio,0.011880754,58,1.19,95.45
operating_margin,0.0117662465,59,1.18,96.63
m03_regime_cat,0.011704793,60,1.17,97.8
inventory_growth_yoy,0.01127194,61,1.13,98.93
gross_margin,0.010422659,62,1.04,99.97
Is_Green_Day,0.0,63,0.0,99.97
