feature,gain,rank,gain_pct,cumulative_pct
industry_id,0.030942002,1,3.09,3.09
inventory_vs_sales_spread,0.027176186,2,2.72,5.81
log_Price_vs_SMA_200,0.025472628,3,2.55,8.36
alpha011,0.023385521,4,2.34,10.7
log_Price_vs_SMA_50,0.023290597,5,2.33,13.03
log_RS,0.023094436,6,2.31,15.34
log_Dist_From_20D_Low_Delta,0.021840261,7,2.18,17.52
Price_vs_SMA_150_Delta,0.021580335,8,2.16,19.68
m03_pillar_liq,0.020923361,9,2.09,21.77
net_income_growth_yoy,0.02062446,10,2.06,23.83
alpha101,0.018836332,11,1.88,25.71
alpha013,0.017537307,12,1.75,27.46
alpha006,0.017410357,13,1.74,29.2
m03_score,0.01740768,14,1.74,30.94
log_mom_63d,0.01734256,15,1.73,32.67
log_alpha001,0.017134564,16,1.71,34.38
log_alpha060,0.016998075,17,1.7,36.08
current_ratio,0.016902905,18,1.69,37.77
log_VCP_Ratio_Delta,0.01659253,19,1.66,39.43
alpha012,0.016482025,20,1.65,41.08
log_Price_vs_SMA_50_Lag1,0.016469723,21,1.65,42.73
log_alpha009,0.016331475,22,1.63,44.36
log_gross_margin_trend,0.016223252,23,1.62,45.98
m03_pillar_risk,0.015940955,24,1.59,47.57
ps_ratio,0.015800834,25,1.58,49.15
log_breakout_momentum,0.015486734,26,1.55,50.7
log_volume_velocity,0.015307203,27,1.53,52.23
m03_pillar_trend,0.01528669,28,1.53,53.76
log_Dist_From_52W_Low_Delta,0.015168783,29,1.52,55.28
log_pb_ratio,0.014824059,30,1.48,56.76
m03_delta_5d,0.014749106,31,1.47,58.23
log_debt_to_equity,0.014322377,32,1.43,59.66
roe,0.014281473,33,1.43,61.09
alpha004,0.013948375,34,1.39,62.48
RSI_14,0.013885476,35,1.39,63.87
log_Price_vs_SMA_200_Delta,0.01370263,36,1.37,65.24
log_revenue_growth_yoy,0.013479113,37,1.35,66.59
roa,0.013390499,38,1.34,67.93
sector_id,0.013338354,39,1.33,69.26
log_revenue_accel,0.012953491,40,1.3,70.56
log_Dry_Up_Volume_Lag1,0.012776693,41,1.28,71.84
alpha054,0.012524384,42,1.25,73.09
alpha041,0.012469914,43,1.25,74.34
log_Dry_Up_Volume_Delta,0.012410289,44,1.24,75.58
log_vol_ma20,0.01211412,45,1.21,76.79
alpha015,0.011853973,46,1.19,77.98
earnings_quality_score,0.011485588,47,1.15,79.13
log_fcf_margin,0.0114714205,48,1.15,80.28
turnover_ma20,0.01134101,49,1.13,81.41
log_volume_acceleration,0.010763542,50,1.08,82.49
alpha046,0.010718868,51,1.07,83.56
RS_vs_Sector,0.010622153,52,1.06,84.62
operating_margin,0.010536141,53,1.05,85.67
log_price_momentum_curve,0.010204798,54,1.02,86.69
log_days_since_report,0.010113271,55,1.01,87.7
gross_margin,0.009993458,56,1.0,88.7
m03_regime_vol,0.009813068,57,0.98,89.68
m03_delta_20d,0.009787759,58,0.98,90.66
alpha002,0.009711356,59,0.97,91.63
pe_ratio,0.009293053,60,0.93,92.56
eps_stability_score,0.009248137,61,0.92,93.48
Price_vs_SMA_50_Delta,0.009164341,62,0.92,94.4
log_revenue_cagr_3y,0.008633871,63,0.86,95.26
log_eps_growth_yoy,0.00849486,64,0.85,96.11
RS_Universe_Rank,0.008434047,65,0.84,96.95
VCP_Ratio,0.0070883245,66,0.71,97.66
Dist_From_52W_High_Delta,0.006389198,67,0.64,98.3
log_High_52W_Delta,0.0057506333,68,0.58,98.88
Dist_From_20D_High_Delta,0.005695501,69,0.57,99.45
peg_adjusted,0.005231462,70,0.52,99.97
Is_Green_Day,0.0,71,0.0,99.97
log_eps_accel,0.0,72,0.0,99.97
