feature,gain,rank,gain_pct,cumulative_pct
alpha041,0.04032947,1,4.03,4.03
roe,0.03472013,2,3.47,7.5
operating_margin,0.032729242,3,3.27,10.77
log_price_momentum_curve,0.030799652,4,3.08,13.85
alpha054,0.029856551,5,2.99,16.84
pe_ratio,0.027721956,6,2.77,19.61
RS_Universe_Rank,0.027708104,7,2.77,22.38
roa,0.027058616,8,2.71,25.09
current_ratio,0.02677702,9,2.68,27.77
log_pb_ratio,0.026495298,10,2.65,30.42
alpha046,0.025806805,11,2.58,33.0
Price_vs_SMA_150_Delta,0.025669884,12,2.57,35.57
gross_margin,0.023878485,13,2.39,37.96
log_debt_to_equity,0.02288446,14,2.29,40.25
industry_id,0.021877952,15,2.19,42.44
m03_score,0.021214345,16,2.12,44.56
net_income_growth_yoy,0.021099314,17,2.11,46.67
log_revenue_accel,0.021097103,18,2.11,48.78
log_alpha001,0.019707758,19,1.97,50.75
m03_delta_5d,0.017970346,20,1.8,52.55
log_Price_vs_SMA_200_Delta,0.017444413,21,1.74,54.29
m03_pillar_trend,0.016522322,22,1.65,55.94
log_Dry_Up_Volume_Delta,0.01613061,23,1.61,57.55
log_Price_vs_SMA_50_Lag1,0.016105834,24,1.61,59.16
eps_stability_score,0.016075488,25,1.61,60.77
sector_id,0.015086074,26,1.51,62.28
alpha011,0.0149573535,27,1.5,63.78
m03_pillar_risk,0.01460696,28,1.46,65.24
log_Dist_From_52W_Low_Delta,0.014370818,29,1.44,66.68
Dist_From_20D_High_Delta,0.014311807,30,1.43,68.11
inventory_vs_sales_spread,0.013773448,31,1.38,69.49
alpha002,0.013715493,32,1.37,70.86
log_eps_accel,0.013705437,33,1.37,72.23
log_gross_margin_trend,0.01366573,34,1.37,73.6
log_Price_vs_SMA_50,0.013301908,35,1.33,74.93
alpha013,0.012856805,36,1.29,76.22
earnings_quality_score,0.012760515,37,1.28,77.5
log_alpha009,0.012700485,38,1.27,78.77
log_alpha060,0.012100263,39,1.21,79.98
Price_vs_SMA_50_Delta,0.012093088,40,1.21,81.19
log_fcf_margin,0.011671689,41,1.17,82.36
alpha101,0.011498672,42,1.15,83.51
log_eps_growth_yoy,0.0111842705,43,1.12,84.63
log_volume_acceleration,0.01019061,44,1.02,85.65
log_vol_ma20,0.009865865,45,0.99,86.64
log_High_52W_Delta,0.0093725575,46,0.94,87.58
log_Price_vs_SMA_200,0.009189518,47,0.92,88.5
log_volume_velocity,0.008784893,48,0.88,89.38
log_Dry_Up_Volume_Lag1,0.008589289,49,0.86,90.24
log_Dist_From_20D_Low_Delta,0.008420086,50,0.84,91.08
log_RS,0.008340259,51,0.83,91.91
turnover_ma20,0.0081378035,52,0.81,92.72
m03_delta_20d,0.008099332,53,0.81,93.53
log_revenue_cagr_3y,0.007647506,54,0.76,94.29
VCP_Ratio,0.0074265525,55,0.74,95.03
m03_pillar_liq,0.0064646276,56,0.65,95.68
alpha012,0.0062466846,57,0.62,96.3
m03_regime_vol,0.0059993,58,0.6,96.9
log_breakout_momentum,0.005581422,59,0.56,97.46
log_revenue_growth_yoy,0.005244282,60,0.52,97.98
RSI_14,0.0047028777,61,0.47,98.45
log_mom_63d,0.0045434,62,0.45,98.9
log_days_since_report,0.003276638,63,0.33,99.23
log_VCP_Ratio_Delta,0.003203206,64,0.32,99.55
alpha015,0.0023345493,65,0.23,99.78
RS_vs_Sector,0.002296851,66,0.23,100.01
Dist_From_52W_High_Delta,0.0,67,0.0,100.01
alpha006,0.0,68,0.0,100.01
Is_Green_Day,0.0,69,0.0,100.01
alpha004,0.0,70,0.0,100.01
ps_ratio,0.0,71,0.0,100.01
peg_adjusted,0.0,72,0.0,100.01
