feature,gain,rank,gain_pct,cumulative_pct
alpha011,0.024548447,1,2.45,2.45
log_Price_vs_SMA_50_Lag1,0.018075796,2,1.81,4.26
net_income_growth_yoy,0.018031942,3,1.8,6.06
m03_pillar_liq,0.017867554,4,1.79,7.85
m03_delta_5d,0.017797353,5,1.78,9.63
m03_pillar_risk,0.01759241,6,1.76,11.39
log_revenue_growth_yoy,0.017462801,7,1.75,13.14
log_gross_margin_trend,0.017327376,8,1.73,14.87
log_mom_63d,0.016995793,9,1.7,16.57
inventory_vs_sales_spread,0.016819011,10,1.68,18.25
Price_vs_SMA_150_Delta,0.016791899,11,1.68,19.93
roe,0.016544955,12,1.65,21.58
log_Price_vs_SMA_200_Delta,0.016503695,13,1.65,23.23
m03_regime_vol,0.01645681,14,1.65,24.88
log_eps_accel,0.016413145,15,1.64,26.52
log_Price_vs_SMA_50,0.01639046,16,1.64,28.16
alpha006,0.016294578,17,1.63,29.79
Price_vs_SMA_50_Delta,0.016272204,18,1.63,31.42
log_Dry_Up_Volume_Lag1,0.016010053,19,1.6,33.02
alpha013,0.01599078,20,1.6,34.62
gross_margin,0.015706897,21,1.57,36.19
ps_ratio,0.015664425,22,1.57,37.76
m03_score,0.015637064,23,1.56,39.32
alpha004,0.015616035,24,1.56,40.88
log_debt_to_equity,0.015573602,25,1.56,42.44
sector_id,0.015496924,26,1.55,43.99
log_revenue_accel,0.015460565,27,1.55,45.54
m03_delta_20d,0.01529433,28,1.53,47.07
log_pb_ratio,0.0152803855,29,1.53,48.6
log_days_since_report,0.015236061,30,1.52,50.12
roa,0.01512913,31,1.51,51.63
log_High_52W_Delta,0.014765481,32,1.48,53.11
RS_vs_Sector,0.014746906,33,1.47,54.58
turnover_ma20,0.014564113,34,1.46,56.04
log_alpha001,0.014550975,35,1.46,57.5
log_Price_vs_SMA_200,0.014433976,36,1.44,58.94
log_eps_growth_yoy,0.014373384,37,1.44,60.38
pe_ratio,0.014283432,38,1.43,61.81
log_volume_velocity,0.014233941,39,1.42,63.23
log_vol_ma20,0.01412681,40,1.41,64.64
alpha015,0.013979414,41,1.4,66.04
current_ratio,0.013933951,42,1.39,67.43
VCP_Ratio,0.013858155,43,1.39,68.82
log_revenue_cagr_3y,0.013800617,44,1.38,70.2
m03_pillar_trend,0.0137033565,45,1.37,71.57
log_alpha060,0.013673985,46,1.37,72.94
alpha046,0.013590839,47,1.36,74.3
Dist_From_52W_High_Delta,0.013589719,48,1.36,75.66
earnings_quality_score,0.013529024,49,1.35,77.01
alpha002,0.013522836,50,1.35,78.36
alpha101,0.0133744525,51,1.34,79.7
log_volume_acceleration,0.01333658,52,1.33,81.03
log_Dry_Up_Volume_Delta,0.013133329,53,1.31,82.34
RSI_14,0.0129649425,54,1.3,83.64
Dist_From_20D_High_Delta,0.0129522635,55,1.3,84.94
log_Dist_From_20D_Low_Delta,0.012752269,56,1.28,86.22
log_fcf_margin,0.012603707,57,1.26,87.48
alpha054,0.012489696,58,1.25,88.73
operating_margin,0.01241041,59,1.24,89.97
alpha041,0.0124055855,60,1.24,91.21
log_alpha009,0.0120854955,61,1.21,92.42
eps_stability_score,0.012000051,62,1.2,93.62
log_RS,0.0107484395,63,1.07,94.69
log_Dist_From_52W_Low_Delta,0.010179804,64,1.02,95.71
peg_adjusted,0.010096023,65,1.01,96.72
RS_Universe_Rank,0.009828587,66,0.98,97.7
alpha012,0.0071073403,67,0.71,98.41
log_price_momentum_curve,0.006758546,68,0.68,99.09
log_VCP_Ratio_Delta,0.005803989,69,0.58,99.67
log_breakout_momentum,0.003425021,70,0.34,100.01
Is_Green_Day,0.0,71,0.0,100.01
