feature,gain,rank,gain_pct,cumulative_pct
industry_id,0.03665961,1,3.67,3.67
inventory_vs_sales_spread,0.03122588,2,3.12,6.79
alpha011,0.026957188,3,2.7,9.49
log_RS,0.025853105,4,2.59,12.08
log_Price_vs_SMA_50,0.025650423,5,2.57,14.65
log_High_52W_Delta,0.02417245,6,2.42,17.07
log_Price_vs_SMA_200,0.023835568,7,2.38,19.45
log_Dist_From_20D_Low_Delta,0.023597443,8,2.36,21.81
current_ratio,0.022906214,9,2.29,24.1
alpha004,0.022824153,10,2.28,26.38
RS_Universe_Rank,0.021484269,11,2.15,28.53
alpha101,0.0213342,12,2.13,30.66
log_Price_vs_SMA_50_Lag1,0.02048511,13,2.05,32.71
log_volume_acceleration,0.019874636,14,1.99,34.7
alpha013,0.019754946,15,1.98,36.68
sector_id,0.019527413,16,1.95,38.63
alpha006,0.019355036,17,1.94,40.57
log_mom_63d,0.018806085,18,1.88,42.45
log_breakout_momentum,0.018505504,19,1.85,44.3
net_income_growth_yoy,0.018186703,20,1.82,46.12
ps_ratio,0.017538022,21,1.75,47.87
log_debt_to_equity,0.017513875,22,1.75,49.62
alpha012,0.017041404,23,1.7,51.32
log_revenue_growth_yoy,0.01637089,24,1.64,52.96
log_VCP_Ratio_Delta,0.0163041,25,1.63,54.59
roa,0.016133863,26,1.61,56.2
gross_margin,0.015747875,27,1.57,57.77
log_volume_velocity,0.01548826,28,1.55,59.32
roe,0.01507769,29,1.51,60.83
Dist_From_52W_High_Delta,0.014727215,30,1.47,62.3
log_revenue_accel,0.014304586,31,1.43,63.73
log_Dry_Up_Volume_Lag1,0.014214132,32,1.42,65.15
alpha054,0.014125957,33,1.41,66.56
log_vol_ma20,0.014000452,34,1.4,67.96
pe_ratio,0.013721588,35,1.37,69.33
alpha015,0.0135348085,36,1.35,70.68
Dist_From_20D_High_Delta,0.013353912,37,1.34,72.02
Price_vs_SMA_150_Delta,0.0131826205,38,1.32,73.34
alpha046,0.013161847,39,1.32,74.66
operating_margin,0.01312485,40,1.31,75.97
Price_vs_SMA_50_Delta,0.013028627,41,1.3,77.27
log_gross_margin_trend,0.0128793735,42,1.29,78.56
log_days_since_report,0.012744503,43,1.27,79.83
log_alpha060,0.012707764,44,1.27,81.1
log_price_momentum_curve,0.012568754,45,1.26,82.36
log_alpha001,0.012157675,46,1.22,83.58
log_eps_growth_yoy,0.012067489,47,1.21,84.79
log_Dry_Up_Volume_Delta,0.011741689,48,1.17,85.96
log_eps_accel,0.011376486,49,1.14,87.1
log_revenue_cagr_3y,0.011187019,50,1.12,88.22
log_pb_ratio,0.0110449735,51,1.1,89.32
RSI_14,0.010533819,52,1.05,90.37
log_Price_vs_SMA_200_Delta,0.010424317,53,1.04,91.41
RS_vs_Sector,0.010335253,54,1.03,92.44
turnover_ma20,0.009686551,55,0.97,93.41
VCP_Ratio,0.009678188,56,0.97,94.38
eps_stability_score,0.008818018,57,0.88,95.26
log_Dist_From_52W_Low_Delta,0.008800159,58,0.88,96.14
log_fcf_margin,0.008651277,59,0.87,97.01
alpha041,0.008580178,60,0.86,97.87
earnings_quality_score,0.007119361,61,0.71,98.58
alpha002,0.0065114717,62,0.65,99.23
peg_adjusted,0.0057714228,63,0.58,99.81
log_alpha009,0.0019217575,64,0.19,100.0
Is_Green_Day,0.0,65,0.0,100.0
