feature,gain,rank,gain_pct,cumulative_pct
gross_margin,0.021650871,1,2.17,2.17
log_nATR,0.02158723,2,2.16,4.33
alpha011,0.021300348,3,2.13,6.46
log_Price_vs_SMA_200_Delta,0.020571204,4,2.06,8.52
alpha015,0.02041609,5,2.04,10.56
log_eps_accel,0.020100946,6,2.01,12.57
alpha013,0.020089433,7,2.01,14.58
log_current_ratio,0.019984955,8,2.0,16.58
alpha101,0.019924732,9,1.99,18.57
log_gross_margin_trend,0.019577147,10,1.96,20.53
Dist_From_52W_High,0.019508023,11,1.95,22.48
log_Dist_From_52W_Low,0.01950627,12,1.95,24.43
ps_ratio,0.01940128,13,1.94,26.37
SMA_50_Slope,0.019182706,14,1.92,28.29
log_Price_vs_SMA_200,0.019144477,15,1.91,30.2
log_volume_velocity,0.018665709,16,1.87,32.07
pe_ratio,0.01855964,17,1.86,33.93
log_revenue_growth_yoy,0.018476035,18,1.85,35.78
log_revenue_accel,0.01847413,19,1.85,37.63
log_fcf_margin,0.01847278,20,1.85,39.48
log_alpha060,0.01836078,21,1.84,41.32
log_Dry_Up_Volume_Delta,0.0183542,22,1.84,43.16
log_Dist_From_20D_Low_Delta,0.018099263,23,1.81,44.97
alpha041,0.018071465,24,1.81,46.78
earnings_quality_score,0.017887352,25,1.79,48.57
log_RS_MA_Delta,0.017853068,26,1.79,50.36
log_RS_Delta,0.017850269,27,1.79,52.15
days_since_report,0.017806873,28,1.78,53.93
operating_margin,0.017791495,29,1.78,55.71
alpha006,0.017725354,30,1.77,57.48
Dist_From_20D_High_Delta,0.017629145,31,1.76,59.24
alpha012,0.01762846,32,1.76,61.0
log_Dry_Up_Volume,0.01752724,33,1.75,62.75
log_breakout_momentum,0.017487234,34,1.75,64.5
Price_vs_SMA_150_Delta,0.017306903,35,1.73,66.23
roa,0.017255481,36,1.73,67.96
VCP_Ratio,0.017016478,37,1.7,69.66
log_debt_to_equity,0.016999025,38,1.7,71.36
eps_stability_score,0.016931804,39,1.69,73.05
alpha002,0.01690015,40,1.69,74.74
alpha054,0.016838647,41,1.68,76.42
nATR_Delta,0.016754095,42,1.68,78.1
log_volume_acceleration,0.01671036,43,1.67,79.77
log_eps_growth_yoy,0.016635615,44,1.66,81.43
log_alpha001,0.016576497,45,1.66,83.09
log_revenue_cagr_3y,0.016541913,46,1.65,84.74
roe,0.016310876,47,1.63,86.37
log_pb_ratio,0.01627493,48,1.63,88.0
RSI_14,0.016094927,49,1.61,89.61
inventory_vs_sales_spread,0.015535385,50,1.55,91.16
price_accel_10d,0.015471058,51,1.55,92.71
alpha009,0.015359176,52,1.54,94.25
peg_adjusted,0.015185047,53,1.52,95.77
Price_vs_SMA_50_Delta,0.014851212,54,1.49,97.26
rs_velocity,0.014092076,55,1.41,98.67
log_Lowest_Low_20D_Delta,0.0136922,56,1.37,100.04
Is_Green_Day,0.0,57,0.0,100.04
