feature,gain,rank,gain_pct,cumulative_pct
industry_id,0.027582845,1,2.76,2.76
log_Price_vs_SMA_50,0.026897347,2,2.69,5.45
alpha011,0.025768548,3,2.58,8.03
log_Price_vs_SMA_200,0.023731668,4,2.37,10.4
inventory_vs_sales_spread,0.020083457,5,2.01,12.41
m03_pillar_risk,0.01826506,6,1.83,14.24
net_income_growth_yoy,0.018020224,7,1.8,16.04
alpha046,0.017984724,8,1.8,17.84
log_net_income_growth_yoy,0.017130306,9,1.71,19.55
log_Price_vs_SMA_50_Lag1,0.017073113,10,1.71,21.26
sector_id,0.016883088,11,1.69,22.95
log_mom_63d,0.016836837,12,1.68,24.63
roe,0.016270643,13,1.63,26.26
ps_ratio,0.015354633,14,1.54,27.8
Price_vs_SMA_50_Delta,0.015305658,15,1.53,29.33
log_volume_acceleration,0.015232776,16,1.52,30.85
log_alpha001,0.015186213,17,1.52,32.37
log_RS,0.014829291,18,1.48,33.85
m03_pillar_liq,0.014457094,19,1.45,35.3
log_gross_margin_trend,0.014426497,20,1.44,36.74
log_eps_growth_yoy,0.014347006,21,1.43,38.17
pe_ratio,0.0140150655,22,1.4,39.57
m03_delta_5d,0.013971297,23,1.4,40.97
log_revenue_accel,0.013966215,24,1.4,42.37
alpha004,0.0137779405,25,1.38,43.75
RSI_14,0.013761788,26,1.38,45.13
alpha012,0.013681384,27,1.37,46.5
earnings_quality_score,0.013620706,28,1.36,47.86
log_days_since_report,0.013618023,29,1.36,49.22
log_High_52W_Delta,0.013605393,30,1.36,50.58
m03_pillar_trend,0.013575669,31,1.36,51.94
alpha101,0.013571908,32,1.36,53.3
alpha013,0.013413546,33,1.34,54.64
current_ratio,0.013388712,34,1.34,55.98
log_Dist_From_20D_Low_Delta,0.013344465,35,1.33,57.31
RS_vs_Sector,0.013299175,36,1.33,58.64
log_debt_to_equity,0.013236998,37,1.32,59.96
alpha054,0.01319903,38,1.32,61.28
log_vol_ma20,0.01311151,39,1.31,62.59
roa,0.013069636,40,1.31,63.9
log_Price_vs_SMA_200_Delta,0.013049748,41,1.3,65.2
log_VCP_Ratio_Delta,0.01302041,42,1.3,66.5
alpha002,0.013013846,43,1.3,67.8
alpha006,0.012921292,44,1.29,69.09
turnover_ma20,0.012901726,45,1.29,70.38
alpha041,0.012825215,46,1.28,71.66
m03_score,0.012760983,47,1.28,72.94
log_pb_ratio,0.012578302,48,1.26,74.2
RS_Universe_Rank,0.012569168,49,1.26,75.46
log_eps_accel,0.012546842,50,1.25,76.71
eps_stability_score,0.012521274,51,1.25,77.96
log_volume_velocity,0.012438143,52,1.24,79.2
log_revenue_growth_yoy,0.0124312155,53,1.24,80.44
log_fcf_margin,0.012362447,54,1.24,81.68
Dist_From_20D_High_Delta,0.012289091,55,1.23,82.91
VCP_Ratio,0.012102328,56,1.21,84.12
m03_regime_vol,0.012093567,57,1.21,85.33
log_revenue_cagr_3y,0.01189439,58,1.19,86.52
Price_vs_SMA_150_Delta,0.011773096,59,1.18,87.7
alpha015,0.011696746,60,1.17,88.87
m03_delta_20d,0.011568271,61,1.16,90.03
log_Dry_Up_Volume_Delta,0.011298404,62,1.13,91.16
log_alpha060,0.01090308,63,1.09,92.25
log_Dry_Up_Volume_Lag1,0.010654764,64,1.07,93.32
gross_margin,0.010444612,65,1.04,94.36
log_alpha009,0.0101939095,66,1.02,95.38
log_price_momentum_curve,0.008826204,67,0.88,96.26
peg_adjusted,0.008795738,68,0.88,97.14
operating_margin,0.008125748,69,0.81,97.95
log_Dist_From_52W_Low_Delta,0.007989032,70,0.8,98.75
log_breakout_momentum,0.00678944,71,0.68,99.43
Dist_From_52W_High_Delta,0.005725426,72,0.57,100.0
Is_Green_Day,0.0,73,0.0,100.0
