ticker,earnings_date,eps_estimate,reported_eps,eps_surprise_pct,is_confirmed
AAON,2026-05-07,0.29,,,False
AAT,2026-07-28,0.12,,,False
AAL,2026-07-23,-0.04,,,False
AAMI,2026-07-30,0.99,,,False
AAPL,2026-07-30,1.89,,,False
AA,2026-07-15,2.22,,,False
AB,2026-07-23,0.82,,,False
ABBV,2026-07-30,3.76,,,False
ABNB,2026-05-07,0.3,,,False
ABG,2026-07-28,6.58,,,False
ABR,2026-05-08,0.11,,,False
ABT,2026-07-16,1.28,,,False
ABCB,2026-07-27,1.66,,,False
ACCO,2026-07-30,0.27,,,False
ACEL,2026-08-04,0.21,,,False
ACNB,2026-07-23,1.37,,,False
ACM,2026-05-11,1.54,,,False
ACLS,2026-05-07,0.71,,,False
ACI,2026-07-21,0.54,,,False
ACMR,2026-05-07,0.2,,,False
ACU,2026-07-29,0.48,,,False
ACT,2026-07-29,1.21,,,False
ACT,2026-05-05,1.2,1.21,1.16,True
AD,2026-05-08,3.69,,,False
ADAM,2026-07-29,0.24,,,False
ADC,2026-07-30,0.47,,,False
ACR,2026-07-29,0.16,,,False
ADEA,2026-08-04,0.32,,,False
ADM,2026-08-04,1.03,,,False
ADT,2026-07-30,0.22,,,False
ADPT,2026-08-04,-0.14,,,False
ADPT,2026-05-05,-0.16,-0.13,20.18,True
ADP,2026-07-29,2.59,,,False
ADTN,2026-08-04,0.12,,,False
ADTN,2026-05-04,0.09,0.14,50.01,True
ADUS,2026-08-03,1.69,,,False
AEE,2026-07-30,1.08,,,False
AEHR,2026-07-14,-0.01,,,False
AEIS,2026-08-04,2.17,,,False
AEIS,2026-05-04,1.98,2.09,5.57,True
AEP,2026-07-30,1.57,,,False
AES,2026-07-30,0.51,,,False
AES,2026-05-05,0.37,0.77,108.27,True
AEYE,2026-05-12,0.17,,,False
AFG,2026-08-04,2.49,,,False
AFG,2026-04-29,2.56,2.47,-3.35,True
AGCO,2026-07-30,1.49,,,False
AFL,2026-08-06,1.77,,,False
AGIO,2026-07-30,-1.58,,,False
AGL,2026-05-06,1.4,,,False
AGNC,2026-07-20,0.38,,,False
AHCO,2026-08-04,0.22,,,False
AHT,2026-05-12,-8.79,,,False
AHH,2026-08-03,0.07,,,False
AIG,2026-08-06,1.93,,,False
AIN,2026-08-05,0.71,,,False
AIN,2026-04-30,0.53,0.6,13.92,True
AIRS,2026-05-08,-0.02,,,False
AIT,2026-08-13,2.92,,,False
AIZ,2026-08-04,5.25,,,False
AJG,2026-07-30,2.87,,,False
AKR,2026-07-28,0.04,,,False
ALAB,2026-08-04,0.55,,,False
ALB,2026-05-06,1.31,,,False
ALGN,2026-07-29,2.61,,,False
ALGS,2026-05-07,-2.28,,,False
ALGT,2026-08-03,-0.09,,,False
ALGT,2026-04-30,3.49,3.77,8.08,True
ALHC,2026-07-30,0.2,,,False
ALK,2026-07-22,-0.94,,,False
ALKT,2026-07-29,0.16,,,False
ALL,2026-08-05,4.56,,,False
ALLY,2026-07-16,1.27,,,False
ALMU,2026-05-13,-0.04,,,False
ALNT,2026-05-06,0.53,,,False
ALNY,2026-07-30,2.06,,,False
ALOT,2026-06-04,,,,False
ALOT,2020-12-07,0.02,,-100.0,False
ALOT,2020-09-09,-0.06,,100.0,False
ALRM,2026-05-07,0.6,,,False
ALSN,2026-08-04,2.43,,,False
ALSN,2026-05-04,2.03,1.33,-34.52,True
ALSN,2026-02-23,1.46,1.42,-2.39,True
ALSN,2025-10-29,1.85,1.75,-5.65,True
ALSN,2025-08-04,2.22,2.25,1.37,True
ALSN,2025-05-01,1.98,2.25,13.98,True
ALSN,2025-02-11,1.93,2.05,6.0,True
ALSN,2024-10-29,1.98,2.28,14.93,True
ALSN,2024-07-25,2.03,2.22,9.2,True
ALSN,2024-04-25,1.85,2.1,13.89,True
ALSN,2024-02-13,1.5,2.04,36.23,True
ALSN,2023-10-25,1.89,1.88,-0.79,True
ALSN,2023-07-27,1.72,1.92,11.91,True
ALSN,2023-04-27,1.74,1.89,8.59,True
ALSN,2023-02-15,1.44,1.65,15.18,True
ALSN,2022-10-26,1.44,1.66,15.03,True
ALSN,2022-08-03,1.57,1.35,-14.02,True
ALSN,2022-04-27,1.27,1.48,16.3,True
ALSN,2022-02-16,1.12,1.2,7.82,True
ALSN,2021-10-27,1.04,0.95,-8.66,True
ALSN,2021-07-28,1.13,1.1,-3.16,True
ALSN,2021-04-28,0.99,1.15,15.41,True
ALSN,2021-02-17,0.74,0.74,1.06,True
ALSN,2020-10-28,0.75,0.76,0.74,True
ALSN,2020-08-04,0.34,0.37,10.33,True
ALRS,2026-08-04,0.68,,,False
ALTG,2026-05-07,-0.47,,,False
ALTI,2026-05-11,0.06,,,False
ALX,2026-08-03,,,,False
ALT,2026-05-13,-0.25,,,False
ALT,2026-03-05,-0.24,-0.27,-11.18,True
ALT,2025-11-06,-0.27,-0.21,20.97,True
ALT,2025-08-12,-0.32,-0.27,15.77,True
ALT,2025-05-13,-0.34,-0.26,23.91,True
ALT,2025-02-27,-0.34,-0.33,1.52,True
ALT,2024-11-12,-0.36,-0.32,10.49,True
ALT,2024-08-08,-0.34,-0.35,-1.45,True
ALT,2024-05-09,-0.35,-0.34,3.55,True
ALT,2024-03-27,-0.38,-0.33,14.2,True
ALT,2023-11-07,-0.44,-0.39,11.7,True
ALT,2023-08-10,-0.46,-0.32,30.93,True
ALT,2023-05-11,-0.48,-0.4,16.67,True
ALT,2023-02-28,-0.54,-0.44,17.91,True
ALT,2022-11-10,-0.51,-0.48,5.42,True
ALT,2022-08-11,-0.49,-0.42,15.15,True
ALT,2022-05-12,-0.58,-0.44,24.46,True
ALT,2022-03-15,-0.69,-0.49,28.45,True
ALT,2021-11-09,-0.39,-0.81,-107.69,True
ALT,2021-08-10,-0.53,-0.6,-13.21,True
ALT,2021-05-17,-0.74,-0.38,48.88,True
ALT,2021-02-25,-0.8,-0.17,78.64,True
ALT,2020-11-09,-0.76,-0.54,28.95,True
ALT,2020-08-11,-0.28,-0.94,-229.82,True
ALT,2020-05-13,-0.32,-0.26,18.75,True
ALTS,2026-05-12,-0.14,,,False
ALTS,2011-02-28,0.45,0.38,-15.56,True
ALTS,2010-11-09,0.9,0.8,-11.11,True
ALTS,2010-08-12,0.4,0.65,62.5,True
ALTS,2010-05-11,0.2,0.1,-50.0,True
ALTS,2010-03-01,0.25,-1.25,-600.0,True
ALTS,2009-11-09,-0.05,0.45,1000.0,True
ALTS,2009-08-11,-0.1,-0.45,-350.0,True
ALTS,2009-05-11,-0.25,-2.15,-760.0,True
ALTS,2009-03-05,0.5,-0.7,-240.0,True
ALTS,2008-10-29,0.85,1.25,47.06,True
ALTS,2008-07-31,1.35,0.9,-33.33,True
ALTS,2008-05-07,-0.05,0.15,400.0,True
ALTS,2008-03-13,0.15,0.85,466.67,True
ALTS,2007-10-24,0.85,1.55,82.35,True
ALTS,2007-08-01,0.3,0.95,216.67,True
ALTS,2007-05-10,-0.6,-0.55,8.33,True
ALTS,2007-03-29,-1.05,-0.35,66.67,True
ALTS,2006-11-06,,0.05,,True
ALTS,2006-08-04,0.3,-0.55,-283.33,True
ALTS,2006-05-04,-0.5,-0.8,-60.0,True
ALUR,2026-05-13,-0.53,,,False
ALUR,2026-03-30,-0.63,-0.36,42.44,True
AMBQ,2026-05-12,-0.36,,,False
AM,2026-07-29,0.32,,,False
AM,2026-04-29,0.3,0.29,-3.57,True
AM,2026-02-11,0.27,0.28,2.19,True
AM,2025-10-29,0.29,0.27,-7.56,True
AM,2025-07-30,0.25,0.26,5.35,True
AM,2025-04-30,0.3,0.28,-5.68,True
AM,2025-02-12,0.27,0.26,-4.09,True
AM,2024-10-30,0.3,0.23,-24.44,True
AM,2024-07-31,0.27,0.23,-14.41,True
AM,2024-04-24,0.22,0.21,-6.22,True
AM,2024-02-14,0.26,0.24,-5.89,True
AM,2023-10-25,0.23,0.23,1.04,True
AM,2023-07-26,0.24,0.22,-8.18,True
AM,2023-04-26,0.2,0.21,2.77,True
AM,2023-02-15,0.22,0.2,-10.03,True
AM,2022-10-26,0.22,0.2,-10.45,True
AM,2022-07-27,0.23,0.2,-13.58,True
AM,2022-04-27,0.22,0.19,-13.82,True
AM,2022-02-16,0.23,0.2,-12.43,True
AM,2021-10-27,0.2,0.22,9.98,True
AM,2021-07-28,0.22,0.23,3.65,True
AM,2021-04-28,0.23,0.21,-8.19,True
AM,2021-02-17,0.23,0.21,-9.42,True
AM,2020-10-28,0.24,0.25,2.53,True
AM,2020-07-29,0.22,0.22,0.48,True
AMAL,2026-07-23,1.0,,,False
AMAL,2026-04-23,0.95,0.8,-15.79,True
AMAL,2026-01-22,0.91,0.99,9.39,True
AMAL,2025-10-23,0.88,0.91,4.0,True
AMAL,2025-07-24,0.87,0.88,1.15,True
AMAL,2025-04-24,0.8,0.88,10.0,True
AMAL,2025-01-23,0.88,0.9,2.27,True
AMAL,2024-10-24,0.83,0.91,9.64,True
AMAL,2024-07-25,0.79,0.85,7.45,True
AMAL,2024-04-25,0.74,0.83,12.67,True
AMAL,2024-01-25,0.72,0.72,0.68,True
AMAL,2023-10-26,0.7,0.76,8.57,True
AMAL,2023-07-27,0.74,0.72,-2.11,True
AMAL,2023-04-27,0.71,0.74,4.23,True
AMAL,2023-01-26,0.74,0.83,12.19,True
AMAL,2022-10-27,0.7,0.77,10.79,True
AMAL,2022-07-28,0.55,0.65,18.11,True
AMAL,2022-04-28,0.39,0.46,18.88,True
AMAL,2022-01-27,0.4,0.53,31.29,True
AMAL,2021-10-28,0.37,0.46,23.78,True
AMAL,2021-07-29,0.36,0.32,-11.58,True
AMAL,2021-04-22,0.34,0.41,20.82,True
AMAL,2021-01-28,0.33,0.44,31.36,True
AMAL,2020-10-28,0.42,0.54,28.57,True
AMAL,2020-07-28,0.25,0.34,33.97,True
ALZN,2026-03-11,-0.53,-0.58,-9.43,True
ALZN,2025-12-09,-1.95,-0.3,84.65,True
ALZN,2025-09-10,-0.69,-1.28,-85.51,True
ALZN,2025-07-22,-2.7,-9.48,-251.11,True
ALZN,2025-03-10,-3.19,-1.71,46.48,True
ALZN,2024-12-11,-3.42,-3.6,-5.26,True
ALZN,2024-09-11,-21.42,-11.25,47.48,True
ALZN,2024-07-30,-34.2,-120.15,-251.32,True
ALZN,2024-03-25,-29.25,-34.2,-16.92,True
ALZN,2023-12-15,-60.75,-39.6,34.81,True
ALZN,2023-09-13,-54.0,-54.0,,True
ALZN,2023-07-27,-60.75,-40.5,33.33,True
